id,category,feature,behavior,conditions,notes,evidence,status
RS-011,scan,Sorted output,`scan` の出力行は `file_path` 昇順で安定化される,対象ファイルが複数ある場合,再現性確保のためソートする,"src/music_metadata_lib/infrastructure/scan_adapters.py; tests/test_scan_use_case.py; tests/test_scan_adapters.py",tested
RS-012,scan,Default stdout CSV,`scan` は `--output` 未指定時にヘッダー付き CSV を標準出力へ書き出す,`--output` が未指定の場合,区切り文字はカンマを使う,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/application/scan.py; src/music_metadata_lib/infrastructure/scan_adapters.py; tests/test_scan_use_case.py",tested
RS-013,scan,File output creation,`scan` は出力先指定時に親ディレクトリを作成してファイルへ上書き出力する,`--output` が指定された場合,ファイル出力は UTF-8 で行う,"src/music_metadata_lib/infrastructure/scan_adapters.py; tests/test_scan_use_case.py",tested
RS-014,scan,TSV selection,`scan` は出力先拡張子が `.tsv` のときだけ TSV を出力しそれ以外は CSV を出力する,`--output` 指定時,標準出力時は CSV になる,"src/music_metadata_lib/application/scan.py; tests/test_scan_use_case.py",tested
RS-015,scan,Scan row schema,"`scan` は `file_path`,`format`,`title`,`artist`,`album`,`album_artist`,`track_number`,`disc_number`,`year`,`genre` を出力する",既定列構成を使う場合,`file_path` は絶対パスで `format` は拡張子の小文字からドットを除いた値,"src/music_metadata_lib/application/scan.py; src/music_metadata_lib/domain/constants.py; tests/test_scan_use_case.py",tested
RS-016,scan,Missing tags,`scan` は欠落タグまたは読み取り失敗を空文字として出力し処理を継続する,タグが存在しないか Mutagen 読み取りで例外が出た場合,一部ファイルのタグ欠落で全体は失敗しない,"src/music_metadata_lib/infrastructure/scan_adapters.py; tests/test_scan_adapters.py",tested
RS-017,scan,Invalid directory error,`scan` は入力ディレクトリが存在しないかディレクトリでない場合にエラーメッセージを出して非ゼロ終了する,対象パス不正時,メッセージには指定パスを含む,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/application/scan.py; tests/test_cli_scan.py; tests/test_scan_use_case.py",tested
RS-018,scan,Configured scan columns,`scan` は有効な `config.json` がある場合に設定された列だけを設定順で出力する,`config.json` が有効な場合,未設定列は出力しない,"src/music_metadata_lib/application/scan.py; src/music_metadata_lib/infrastructure/scan_adapters.py; src/music_metadata_lib/domain/config.py; README.md; tests/test_scan_use_case.py",tested
RS-019,apply,Input file validation,`apply` は指定入力が存在するファイルでない場合にエラーメッセージを出して非ゼロ終了する,入力パス不正時,ユースケースは処理開始前に失敗する,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/application/apply.py; tests/test_cli_apply.py",tested
RS-020,apply,Required headers,`apply` は入力 CSV または TSV に必須ヘッダーが揃っていることを要求する,読み込み開始時,不足ヘッダーがあるとエラーにする,"src/music_metadata_lib/infrastructure/apply_adapters.py; tests/test_apply_adapters.py",tested
RS-021,apply,TSV parsing,`apply` は入力ファイル拡張子が `.tsv` のときタブ区切りで読み込みそれ以外はカンマ区切りで読む,入力ファイル読込時,拡張子判定で区切り文字を選ぶ,"src/music_metadata_lib/application/apply.py; tests/test_apply_adapters.py",tested
RS-022,apply,Dry run default,`apply` は `--write` が無い場合に入力の解析と検証だけを行い音楽ファイルを書き換えない,`--write` 未指定時,処理件数は数えるが書き込み件数は 0 としてログされる,"src/music_metadata_tool/interface/cli/main.py; src/music_metadata_lib/application/apply.py; tests/test_apply_use_case.py",tested
RS-023,apply,Write on demand,`apply` は `--write` 指定時に各行のタグ値を対象ファイルへ書き込む,`--write` 指定時,空文字のタグ値は削除として扱う,"src/music_metadata_lib/application/apply.py; src/music_metadata_lib/infrastructure/apply_adapters.py; tests/test_apply_use_case.py",tested
RS-024,apply,Relative path resolution,`apply` は相対 `file_path` を入力 CSV または TSV の配置ディレクトリ基準で絶対パスに解決する,入力行の `file_path` が相対パスの場合,絶対パスは `resolve()` で正規化される,"src/music_metadata_lib/application/apply.py; tests/test_apply_use_case.py",tested
RS-025,apply,Missing file_path value,`apply` は入力行の `file_path` が空ならエラーにする,行処理時,空文字は許可しない,"src/music_metadata_lib/application/apply.py; tests/test_apply_use_case.py",tested
RS-026,apply,Audio file validation,`apply` は存在しないファイルや未対応拡張子のファイルを更新対象にできない,各行処理時,未対応拡張子はエラーにする,"src/music_metadata_lib/application/apply.py; tests/test_apply_use_case.py; tests/test_cli_apply.py",tested
RS-027,apply,Configured apply columns,`apply` は有効な `config.json` の列だけを必須入力かつ更新対象として扱う,`config.json` が有効な場合,設定にない列は書き込まない,"src/music_metadata_lib/application/apply.py; src/music_metadata_lib/domain/config.py; tests/test_apply_use_case.py; README.md",tested
RS-028,apply,Unreadable audio handling,`apply` は Mutagen が開けない音声ファイルをエラーにする,`--write` で書き込み時に音声ファイルが未対応または読めない場合,タグ追加に失敗した場合もエラーにする,"src/music_metadata_lib/infrastructure/apply_adapters.py; tests/test_apply_adapters.py",tested
RS-029,stub,Rename stub,`rename` コマンドは現時点で未実装メッセージ `rename: not yet implemented` を出力する,`rename` 実行時,実処理は持たない,"src/music_metadata_tool/interface/cli/main.py; tests/test_cli_common.py",tested
RS-030,stub,Validate stub,`validate` コマンドは現時点で未実装メッセージ `validate: not yet implemented` を出力する,`validate` 実行時,実処理は持たない,"src/music_metadata_tool/interface/cli/main.py; tests/test_cli_common.py",tested
RS-031,stub,Config stub,`config` コマンドは現時点で未実装メッセージ `config: not yet implemented` を出力する,`config` 実行時,実処理は持たない,"src/music_metadata_tool/interface/cli/main.py; tests/test_cli_common.py",tested
